"time","der(inductor1.i)","ground1.p.i","ground1.p.v","inductor1.i","inductor1.p.v","inductor1.v","resistor1.LossPower","resistor1.R_actual","resistor1.v","resistor2.LossPower","resistor2.R_actual","resistor2.v","sineCurrent1.v","inductor1.n.i","inductor1.n.v","inductor1.p.i","resistor1.i","resistor1.n.i","resistor1.n.v","resistor1.p.i","resistor1.p.v","resistor2.i","resistor2.n.i","resistor2.n.v","resistor2.p.i","resistor2.p.v","sineCurrent1.i","sineCurrent1.n.i","sineCurrent1.n.v","sineCurrent1.p.i","sineCurrent1.p.v","sineCurrent1.signalSource.y"
0,6.283185307179586,0,0,0,6.283185307179586,6.283185307179586,0,1,0,0,1,-0,-6.283185307179586,-0,0,0,0,-0,0,0,0,-0,0,0,-0,-0,0,-0,6.283185307179586,0,-0,0
0.01,6.270786876233027,0,0,0.06279051952931337,6.33357739576234,6.270786876233027,0.003942649342761085,1,0.06279051952931337,0.003942649342761085,1,-0.06279051952931337,-6.396367915291654,-0.06279051952931337,0.06279051952931337,0.06279051952931337,0.06279051952931337,-0.06279051952931337,0,0.06279051952931337,0.06279051952931337,-0.06279051952931337,0.06279051952931337,0,-0.06279051952931337,-0.06279051952931337,0.06279051952931337,-0.06279051952931337,6.33357739576234,0.06279051952931337,-0.06279051952931337,0.06279051952931337
0.02,6.233640514335991,0,0,0.1253332335643043,6.358973747900295,6.233640514335991,0.01570841943568445,1,0.1253332335643043,0.01570841943568445,1,-0.1253332335643043,-6.4843069814646,-0.1253332335643043,0.1253332335643043,0.1253332335643043,0.1253332335643043,-0.1253332335643043,0,0.1253332335643043,0.1253332335643043,-0.1253332335643043,0.1253332335643043,0,-0.1253332335643043,-0.1253332335643043,0.1253332335643043,-0.1253332335643043,6.358973747900295,0.1253332335643043,-0.1253332335643043,0.1253332335643043
0.03,6.171892821208328,0,0,0.1873813145857246,6.359274135794053,6.171892821208328,0.03511175705587429,1,0.1873813145857246,0.03511175705587429,1,-0.1873813145857246,-6.546655450379777,-0.1873813145857246,0.1873813145857246,0.1873813145857246,0.1873813145857246,-0.1873813145857246,0,0.1873813145857246,0.1873813145857246,-0.1873813145857246,0.1873813145857246,0,-0.1873813145857246,-0.1873813145857246,0.1873813145857246,-0.1873813145857246,6.359274135794053,0.1873813145857246,-0.1873813145857246,0.1873813145857246
0.04,6.085787486784972,0,0,0.2486898871648548,6.334477373949827,6.085787486784972,0.06184665997806821,1,0.2486898871648548,0.06184665997806821,1,-0.2486898871648548,-6.583167261114682,-0.2486898871648548,0.2486898871648548,0.2486898871648548,0.2486898871648548,-0.2486898871648548,0,0.2486898871648548,0.2486898871648548,-0.2486898871648548,0.2486898871648548,0,-0.2486898871648548,-0.2486898871648548,0.2486898871648548,-0.2486898871648548,6.334477373949827,0.2486898871648548,-0.2486898871648548,0.2486898871648548
0.05,5.975664329483111,0,0,0.3090169943749474,6.284681323858059,5.975664329483111,0.09549150281252627,1,0.3090169943749474,0.09549150281252627,1,-0.3090169943749474,-6.593698318233006,-0.3090169943749474,0.3090169943749474,0.3090169943749474,0.3090169943749474,-0.3090169943749474,0,0.3090169943749474,0.3090169943749474,-0.3090169943749474,0.3090169943749474,0,-0.3090169943749474,-0.3090169943749474,0.3090169943749474,-0.3090169943749474,6.284681323858059,0.3090169943749474,-0.3090169943749474,0.3090169943749474
0.06,5.84195795509413,0,0,0.3681245526846779,6.210082507778807,5.84195795509413,0.1355156862892942,1,0.3681245526846779,0.1355156862892942,1,-0.3681245526846779,-6.578207060463486,-0.3681245526846779,0.3681245526846779,0.3681245526846779,0.3681245526846779,-0.3681245526846779,0,0.3681245526846779,0.3681245526846779,-0.3681245526846779,0.3681245526846779,0,-0.3681245526846779,-0.3681245526846779,0.3681245526846779,-0.3681245526846779,6.210082507778807,0.3681245526846779,-0.3681245526846779,0.3681245526846779
0.07000000000000001,5.685196041593106,0,0,0.4257792915650727,6.110975333158179,5.685196041593106,0.1812880051256552,1,0.4257792915650727,0.1812880051256552,1,-0.4257792915650727,-6.536754624723252,-0.4257792915650727,0.4257792915650727,0.4257792915650727,0.4257792915650727,-0.4257792915650727,0,0.4257792915650727,0.4257792915650727,-0.4257792915650727,0.4257792915650727,0,-0.4257792915650727,-0.4257792915650727,0.4257792915650727,-0.4257792915650727,6.110975333158179,0.4257792915650727,-0.4257792915650727,0.4257792915650727
0.08,5.505997256634927,0,0,0.4817536741017153,5.987750930736642,5.505997256634927,0.2320866025105017,1,0.4817536741017153,0.2320866025105017,1,-0.4817536741017153,-6.469504604838357,-0.4817536741017153,0.4817536741017153,0.4817536741017153,0.4817536741017153,-0.4817536741017153,0,0.4817536741017153,0.4817536741017153,-0.4817536741017153,0.4817536741017153,0,-0.4817536741017153,-0.4817536741017153,0.4817536741017153,-0.4817536741017153,5.987750930736642,0.4817536741017153,-0.4817536741017153,0.4817536741017153
0.09,5.305068815955681,0,0,0.5358267949789967,5.840895610934678,5.305068815955681,0.2871103542174637,1,0.5358267949789967,0.2871103542174637,1,-0.5358267949789967,-6.376722405913674,-0.5358267949789967,0.5358267949789967,0.5358267949789967,0.5358267949789967,-0.5358267949789967,0,0.5358267949789967,0.5358267949789967,-0.5358267949789967,0.5358267949789967,0,-0.5358267949789967,-0.5358267949789967,0.5358267949789967,-0.5358267949789967,5.840895610934678,0.5358267949789967,-0.5358267949789967,0.5358267949789967
0.1,5.08320369231526,0,0,0.5877852522924731,5.670988944607733,5.08320369231526,0.3454915028125263,1,0.5877852522924731,0.3454915028125263,1,-0.5877852522924731,-6.258774196900206,-0.5877852522924731,0.5877852522924731,0.5877852522924731,0.5877852522924731,-0.5877852522924731,0,0.5877852522924731,0.5877852522924731,-0.5877852522924731,0.5877852522924731,0,-0.5877852522924731,-0.5877852522924731,0.5877852522924731,-0.5877852522924731,5.670988944607733,0.5877852522924731,-0.5877852522924731,0.5877852522924731
0.11,4.841277485996137,0,0,0.6374239897486896,5.478701475744826,4.841277485996137,0.4063093427071376,1,0.6374239897486896,0.4063093427071376,1,-0.6374239897486896,-6.116125465493515,-0.6374239897486896,0.6374239897486896,0.6374239897486896,0.6374239897486896,-0.6374239897486896,0,0.6374239897486896,0.6374239897486896,-0.6374239897486896,0.6374239897486896,0,-0.6374239897486896,-0.6374239897486896,0.6374239897486896,-0.6374239897486896,5.478701475744826,0.6374239897486896,-0.6374239897486896,0.6374239897486896
0.12,4.580244969209083,0,0,0.6845471059286886,5.264792075137772,4.580244969209083,0.4686047402353432,1,0.6845471059286886,0.4686047402353432,1,-0.6845471059286886,-5.94933918106646,-0.6845471059286886,0.6845471059286886,0.6845471059286886,0.6845471059286886,-0.6845471059286886,0,0.6845471059286886,0.6845471059286886,-0.6845471059286886,0.6845471059286886,0,-0.6845471059286886,-0.6845471059286886,0.6845471059286886,-0.6845471059286886,5.264792075137772,0.6845471059286886,-0.6845471059286886,0.6845471059286886
